Month,State,CPI Index,YoY %
2012-03-01,Kedah,104.3,1.86
2012-03-01,Kelantan,105.2,2.33
2012-03-01,Melaka,104.2,1.96
2012-03-01,Negeri Sembilan,104.6,1.75
2012-03-01,Pahang,104.4,2.25
2012-03-01,Perak,104.0,1.66
2012-03-01,Perlis,103.9,0.58
2012-03-01,Pulau Pinang,104.8,2.34
2012-03-01,Sabah,104.4,2.15
2012-03-01,Sarawak,104.1,1.96
2012-03-01,Selangor,104.6,1.95
2012-03-01,Terengganu,104.5,1.95
2012-03-01,W.P. Kuala Lumpur,103.9,1.86
2012-03-01,W.P. Labuan,105.9,4.44
2012-03-01,W.P. Putrajaya,105.0,2.34
2012-04-01,Johor,104.5,1.95
2012-04-01,Kedah,104.4,1.75
2012-04-01,Kelantan,105.1,1.74
2012-04-01,Melaka,104.2,1.76
2012-04-01,Negeri Sembilan,104.6,1.36
2012-04-01,Pahang,104.4,1.85
2012-04-01,Perak,103.8,1.27
2012-04-01,Perlis,103.9,0.29
2012-04-01,Pulau Pinang,104.7,2.05
2012-04-01,Sabah,104.2,1.66
2012-04-01,Sarawak,104.1,1.86
2012-04-01,Selangor,104.6,1.75
2012-04-01,Terengganu,104.4,1.26
2012-04-01,W.P. Kuala Lumpur,103.8,1.57
2012-04-01,W.P. Labuan,106.0,4.33
2012-04-01,W.P. Putrajaya,105.0,2.04
2012-05-01,Johor,104.9,2.04
2012-05-01,Kedah,104.8,1.85
2012-05-01,Kelantan,105.5,1.64
2012-05-01,Melaka,104.6,2.05
2012-05-01,Negeri Sembilan,104.8,1.26
2012-05-01,Pahang,104.8,1.95
2012-05-01,Perak,104.0,1.17
2012-05-01,Perlis,104.0,1.76
2012-05-01,Pulau Pinang,104.9,2.04
2012-05-01,Sabah,104.4,1.85
2012-05-01,Sarawak,104.1,1.66
2012-05-01,Selangor,104.9,1.75
2012-05-01,Terengganu,104.8,1.45
2012-05-01,W.P. Kuala Lumpur,104.0,1.56
2012-05-01,W.P. Labuan,106.5,2.9
2012-05-01,W.P. Putrajaya,105.1,1.94
2012-06-01,Johor,105.1,1.74
2012-06-01,Kedah,105.0,1.84
2012-06-01,Kelantan,106.0,1.83
2012-06-01,Melaka,104.7,1.85
2012-06-01,Negeri Sembilan,105.1,1.25
2012-06-01,Pahang,104.9,1.75
2012-06-01,Perak,104.2,1.17
2012-06-01,Perlis,104.2,1.86
2012-06-01,Pulau Pinang,105.2,1.94
2012-06-01,Sabah,104.5,1.85
2012-06-01,Sarawak,104.2,1.66
2012-06-01,Selangor,105.0,1.55
2012-06-01,Terengganu,105.2,1.35
